"","Estado","Medicamento","Apresentacao","Data","Valor","Quantidade"
"1","AL","Acetato de Gosserrelina","3,6mg",2022-03-08,537823.2,1108
"2","AL","Acetato de Gosserrelina","3,6mg",2024-02-29,335300.73,607
"3","AL","Acetato de Gosserrelina","3,6mg",2024-12-13,253864.2,523
"4","AL","Acetato de Gosserrelina","10,8mg",2022-03-08,393977.11,317
"5","AL","Acetato de Gosserrelina","10,8mg",2024-02-29,314062.92,243
"6","AL","Acetato de Gosserrelina","10,8mg",2024-12-13,401434.09,323
"7","AL","Acetato de Leuprorrelina","3,75mg",2021-12-03,1582502.84,6124
"8","AL","Acetato de Leuprorrelina","3,75mg",2021-12-03,79802.33,241
"9","AL","Acetato de Leuprorrelina","3,75mg",2023-05-08,1852671.6,8060
"10","AL","Acetato de Leuprorrelina","3,75mg",2023-11-29,52646.31,261
"11","AL","Acetato de Leuprorrelina","3,75mg",2024-03-15,22405.98,87
"12","AL","Acetato de Leuprorrelina","3,75mg",2023-07-26,2623129.96,8206
"13","AL","Acetato de Leuprorrelina","3,75mg",2023-07-26,79903.12,202
"14","AL","Acetato de Leuprorrelina","3,75mg",2025-10-15,1519415,6635
"15","AL","Acetato de Leuprorrelina","3,75mg",2025-10-10,75929.7,231
"16","AL","Acetato de Leuprorrelina","45mg",2024-12-12,1765260,1401
"17","AL","Acido Ursodesoxicolico","150mg",2021-04-16,209851.2,93600
"18","AL","Acido Ursodesoxicolico","150mg",2022-06-13,207027.99,83817
"19","AL","Acido Ursodesoxicolico","150mg",2022-06-15,72095.4,27729
"20","AL","Acido Ursodesoxicolico","150mg",2023-09-29,63072,78840
"21","AL","Acido Ursodesoxicolico","150mg",2023-09-19,45727.2,26280
"22","AL","Acido Ursodesoxicolico","150mg",2024-03-07,61621.344,78840
"23","AL","Acido Ursodesoxicolico","150mg",2024-03-15,24966,26280
"24","AL","Acido Ursodesoxicolico","150mg",2025-02-12,47739.2,59674
"25","AL","Acido Ursodesoxicolico","300mg",2022-07-19,131580.54,32409
"26","AL","Acido Ursodesoxicolico","300mg",2022-07-19,55635.45,10803
"27","AL","Acido Ursodesoxicolico","300mg",2023-09-19,45155.04,53756
"28","AL","Acido Ursodesoxicolico","300mg",2023-09-19,19175.32,11764
"29","AL","Acido Ursodesoxicolico","300mg",2024-03-07,69665.778,49140
