Data,Estado,Medicamento,Apresentacao,Quantidade,Valor,Base
NA,AL,Acetato De Ciproterona,50mg - Comprimido/Cápsula,NA,NA,LAI
2022-03-08,AL,Acetato De Gosserrelina,3.6mg - Não Especificado,1108,537823.2,LAI
2024-02-29,AL,Acetato De Gosserrelina,3.6mg - Não Especificado,607,335300.73,LAI
2024-12-13,AL,Acetato De Gosserrelina,3.6mg - Não Especificado,523,253864.19999999998,LAI
2022-03-08,AL,Acetato De Gosserrelina,10.8mg - Injetável,317,393977.11,LAI
2024-02-29,AL,Acetato De Gosserrelina,10.8mg - Injetável,243,314062.92000000004,LAI
2024-12-13,AL,Acetato De Gosserrelina,10.8mg - Injetável,323,401434.08999999997,LAI
2021-12-03,AL,Acetato De Leuprorrelina,3.75mg - Não Especificado,6124,1582502.84,LAI
2021-12-03,AL,Acetato De Leuprorrelina,3.75mg - Não Especificado,241,79802.33,LAI
2023-05-08,AL,Acetato De Leuprorrelina,3.75mg - Não Especificado,8060,1852671.6,LAI
2023-11-29,AL,Acetato De Leuprorrelina,3.75mg - Não Especificado,261,52646.310000000005,LAI
2024-03-15,AL,Acetato De Leuprorrelina,3.75mg - Não Especificado,87,22405.980000000003,LAI
2023-07-26,AL,Acetato De Leuprorrelina,3.75mg - Não Especificado,8206,2623129.9600000004,LAI
2023-07-26,AL,Acetato De Leuprorrelina,3.75mg - Não Especificado,202,79903.12,LAI
2025-10-15,AL,Acetato De Leuprorrelina,3.75mg - Não Especificado,6635,1519415,LAI
2025-10-10,AL,Acetato De Leuprorrelina,3.75mg - Não Especificado,231,75929.7,LAI
NA,AL,Acetato De Leuprorrelina,11.25mg - Não Especificado,NA,NA,LAI
2024-12-12,AL,Acetato De Leuprorrelina,45mg - Injetável,1401,1765260,LAI
NA,AL,Acetato De Octreotida,10mg - Injetável,NA,NA,LAI
NA,AL,Acetato De Octreotida,0.1mg/ml - Não Especificado,NA,NA,LAI
NA,AL,Triptorrelina,3.75mg - Não Especificado,NA,NA,LAI
NA,AL,Acido Ursodesoxicolico,50mg - Comprimido/Cápsula,NA,NA,LAI
2021-04-16,AL,Acido Ursodesoxicolico,150mg - Comprimido/Cápsula,93600,209851.2,LAI
2022-06-13,AL,Acido Ursodesoxicolico,150mg - Comprimido/Cápsula,83817,207027.99000000002,LAI
2022-06-15,AL,Acido Ursodesoxicolico,150mg - Comprimido/Cápsula,27729,72095.40000000001,LAI
2023-09-29,AL,Acido Ursodesoxicolico,150mg - Comprimido/Cápsula,78840,63072,LAI
2023-09-19,AL,Acido Ursodesoxicolico,150mg - Comprimido/Cápsula,26280,45727.2,LAI
2024-03-07,AL,Acido Ursodesoxicolico,150mg - Comprimido/Cápsula,78840,61621.344,LAI
2024-03-15,AL,Acido Ursodesoxicolico,150mg - Comprimido/Cápsula,26280,24966,LAI
2025-02-12,AL,Acido Ursodesoxicolico,150mg - Comprimido/Cápsula,59674,47739.200000000004,LAI
2022-07-19,AL,Acido Ursodesoxicolico,300mg - Comprimido/Cápsula,32409,131580.53999999998,LAI
2022-07-19,AL,Acido Ursodesoxicolico,300mg - Comprimido/Cápsula,10803,55635.450000000004,LAI
2023-09-19,AL,Acido Ursodesoxicolico,300mg - Comprimido/Cápsula,53756,45155.04,LAI
2023-09-19,AL,Acido Ursodesoxicolico,300mg - Comprimido/Cápsula,11764,19175.32,LAI
2024-03-07,AL,Acido Ursodesoxicolico,300mg - Comprimido/Cápsula,49140,69665.77799999999,LAI
2024-03-15,AL,Acido Ursodesoxicolico,300mg - Comprimido/Cápsula,16380,21130.2,LAI
2021-08-25,AL,Acitretina,10mg - Comprimido/Cápsula,30000,64800.00000000001,LAI
2023-12-07,AL,Acitretina,10mg - Comprimido/Cápsula,40300,129766.00000000001,LAI
2021-10-08,AL,Acitretina,25mg - Comprimido/Cápsula,31871,167004.04,LAI
2024-03-14,AL,Acitretina,25mg - Comprimido/Cápsula,50100,436872.00000000006,LAI
2024-01-31,AL,Acitretina,25mg - Comprimido/Cápsula,12525,104709,LAI
NA,AL,Alfainterferona 2B,0ui - Não Especificado,NA,NA,LAI
NA,AL,Alfainterferona 2B,0ui - Não Especificado,NA,NA,LAI
NA,AL,Alfainterferona 2B,0ui - Não Especificado,NA,NA,LAI
NA,AL,Ambrisentana,5mg - Comprimido/Cápsula,NA,NA,LAI
2023-07-14,AL,Ambrisentana,10mg - Comprimido/Cápsula,468,19815.120000000003,LAI
2025-08-28,AL,Bosentana,62.5mg - Não Especificado,1872,46949.759999999995,LAI
2025-08-28,AL,Bosentana,125mg - Comprimido/Cápsula,936,44759.52,LAI
2024-05-02,AL,Brometo De Tiotropio Monoidratado + Cloridrato De Olodaterol,2.5mcg - Não Especificado,26135,5897101.399999999,LAI
2025-08-06,AL,Brometo De Tiotropio Monoidratado + Cloridrato De Olodaterol,2.5mcg - Não Especificado,25334,5973503.859999999,LAI
