Estado,Medicamento,Apresentacao,Data,Valor,Quantidade,Base
AL,Gosserrelina,3.6mg - Não Especificado,2022-03-08,537823.2,1108,LAI
AL,Gosserrelina,3.6mg - Não Especificado,2024-02-29,335300.73,607,LAI
AL,Gosserrelina,3.6mg - Não Especificado,2024-12-13,253864.2,523,LAI
AL,Gosserrelina,10.8mg - Não Especificado,2022-03-08,393977.11,317,LAI
AL,Gosserrelina,10.8mg - Não Especificado,2024-02-29,314062.92,243,LAI
AL,Gosserrelina,10.8mg - Não Especificado,2024-12-13,401434.09,323,LAI
AL,Leuprorrelina,3.75mg - Não Especificado,2021-12-03,1582502.84,6124,LAI
AL,Leuprorrelina,3.75mg - Não Especificado,2021-12-03,79802.33,241,LAI
AL,Leuprorrelina,3.75mg - Não Especificado,2023-05-08,1852671.6,8060,LAI
AL,Leuprorrelina,3.75mg - Não Especificado,2023-11-29,52646.31,261,LAI
AL,Leuprorrelina,3.75mg - Não Especificado,2024-03-15,22405.98,87,LAI
AL,Leuprorrelina,3.75mg - Não Especificado,2023-07-26,2623129.96,8206,LAI
AL,Leuprorrelina,3.75mg - Não Especificado,2023-07-26,79903.12,202,LAI
AL,Leuprorrelina,3.75mg - Não Especificado,2025-10-15,1519415,6635,LAI
AL,Leuprorrelina,3.75mg - Não Especificado,2025-10-10,75929.7,231,LAI
AL,Leuprorrelina,45mg - Não Especificado,2024-12-12,1765260,1401,LAI
AL,Ácido Ursodesoxicólico,150mg - Não Especificado,2021-04-16,209851.2,93600,LAI
AL,Ácido Ursodesoxicólico,150mg - Não Especificado,2022-06-13,207027.99,83817,LAI
AL,Ácido Ursodesoxicólico,150mg - Não Especificado,2022-06-15,72095.4,27729,LAI
AL,Ácido Ursodesoxicólico,150mg - Não Especificado,2023-09-29,63072,78840,LAI
AL,Ácido Ursodesoxicólico,150mg - Não Especificado,2023-09-19,45727.2,26280,LAI
AL,Ácido Ursodesoxicólico,150mg - Não Especificado,2024-03-07,61621.344,78840,LAI
AL,Ácido Ursodesoxicólico,150mg - Não Especificado,2024-03-15,24966,26280,LAI
AL,Ácido Ursodesoxicólico,150mg - Não Especificado,2025-02-12,47739.2,59674,LAI
AL,Ácido Ursodesoxicólico,300mg - Não Especificado,2022-07-19,131580.54,32409,LAI
AL,Ácido Ursodesoxicólico,300mg - Não Especificado,2022-07-19,55635.45,10803,LAI
AL,Ácido Ursodesoxicólico,300mg - Não Especificado,2023-09-19,45155.04,53756,LAI
AL,Ácido Ursodesoxicólico,300mg - Não Especificado,2023-09-19,19175.32,11764,LAI
AL,Ácido Ursodesoxicólico,300mg - Não Especificado,2024-03-07,69665.778,49140,LAI
AL,Ácido Ursodesoxicólico,300mg - Não Especificado,2024-03-15,21130.2,16380,LAI
AL,Acitretina,10mg - Não Especificado,2021-08-25,64800,30000,LAI
AL,Acitretina,10mg - Não Especificado,2023-12-07,129766,40300,LAI
AL,Acitretina,25mg - Não Especificado,2021-10-08,167004.04,31871,LAI
AL,Acitretina,25mg - Não Especificado,2024-03-14,436872,50100,LAI
AL,Acitretina,25mg - Não Especificado,2024-01-31,104709,12525,LAI
AL,Ambrisentana,10mg - Não Especificado,2023-07-14,19815.12,468,LAI
AL,Bosentana,62.5mg - Não Especificado,2025-08-28,46949.76,1872,LAI
AL,Bosentana,125mg - Não Especificado,2025-08-28,44759.52,936,LAI
AL,Tiotrópio + Olodaterol,2.5mcg - Não Especificado,2024-05-02,5897101.4,26135,LAI
AL,Tiotrópio + Olodaterol,2.5mcg - Não Especificado,2025-08-06,5973503.86,25334,LAI
AL,Umeclidínio + Vilanterol,25mcg - Não Especificado,2023-12-07,2310354.35,26395,LAI
AL,Umeclidínio + Vilanterol,25mcg - Não Especificado,2024-03-18,630378.45,7605,LAI
AL,Amantadina,100mg - Não Especificado,2022-02-24,24250,25000,LAI
AL,Amantadina,100mg - Não Especificado,2022-01-28,14752.8,30735,LAI
AL,Amantadina,100mg - Não Especificado,2023-12-04,89989.92,159840,LAI
AL,Danazol,100mg - Não Especificado,2022-07-19,259201.8,124020,LAI
AL,Eltrombopague Olamina,25mg - Não Especificado,2022-07-19,1519947,12870,LAI
AL,Eltrombopague Olamina,25mg - Não Especificado,2023-09-19,1271857.15,11365,LAI
AL,Eltrombopague Olamina,25mg - Não Especificado,2025-01-23,6195777.1,52978,LAI
AL,Eltrombopague Olamina,25mg - Não Especificado,2025-09-09,5509776.94,49234,LAI
AL,Eltrombopague Olamina,50mg - Não Especificado,2022-04-05,221101.92,936,LAI
AL,Eltrombopague Olamina,50mg - Não Especificado,2023-05-17,1984132.8,9360,LAI
AL,Eltrombopague Olamina,50mg - Não Especificado,2023-09-19,1676636.5,7490,LAI
AL,Eltrombopague Olamina,50mg - Não Especificado,2025-01-23,4236759.04,18112,LAI
AL,Eltrombopague Olamina,50mg - Não Especificado,2025-09-09,3740085.8,16708,LAI
AL,Hidroxiureia,500mg - Não Especificado,2022-01-28,72784.2,50196,LAI
AL,Hidroxiureia,500mg - Não Especificado,2022-02-02,38297.76,20814,LAI
AL,Hidroxiureia,500mg - Não Especificado,2022-02-02,90540.9,62442,LAI
AL,Hidroxiureia,500mg - Não Especificado,2023-09-19,0,9760,LAI
AL,Hidroxiureia,500mg - Não Especificado,2024-03-21,111264,73200,LAI
AL,Hidroxiureia,500mg - Não Especificado,2024-03-07,41724,24400,LAI
AL,Hidroxiureia,500mg - Não Especificado,2025-02-12,38997,27855,LAI
AL,Hidroxiureia,500mg - Não Especificado,2025-09-09,85864.75,62675,LAI
AL,Hidroxiureia,500mg - Não Especificado,2025-09-09,28829.58,20891,LAI
AL,Iloprosta,10mcg/ml - Não Especificado,2022-03-08,110059.56,4212,LAI
AL,Iloprosta,10mcg/ml - Não Especificado,2024-01-03,118567.8,4212,LAI
AL,Iloprosta,10mcg/ml - Não Especificado,2025-04-09,393724.8,12960,LAI
AL,Mepolizumabe,100mg/ml - Não Especificado,2023-09-05,271983.75,145,LAI
AL,Mepolizumabe,100mg/ml - Não Especificado,2025-07-24,316503.72,156,LAI
AL,Omalizumabe,150mg - Não Especificado,2025-07-24,391031.68,172,LAI
AL,Omalizumabe,150mg - Não Especificado,2025-08-14,386262.12,172,LAI
AL,Pancreatina,10000ui - Não Especificado,2021-11-24,24775.2,22320,LAI
AL,Pancreatina,10000ui - Não Especificado,2022-03-18,54112.5,48750,LAI
AL,Pancreatina,10000ui - Não Especificado,2023-06-07,44649,36300,LAI
AL,Pancreatina,10000ui - Não Especificado,2024-03-15,77636,59720,LAI
AL,Pancreatina,25000ui - Não Especificado,2021-12-07,190758.66,85542,LAI
AL,Pancreatina,25000ui - Não Especificado,2022-03-18,188156.25,84375,LAI
AL,Pancreatina,25000ui - Não Especificado,2022-07-13,494879.37,221919,LAI
AL,Pancreatina,25000ui - Não Especificado,2023-06-07,163754.4,66030,LAI
AL,Pancreatina,25000ui - Não Especificado,2023-11-23,443052.48,169104,LAI
AL,Pancreatina,25000ui - Não Especificado,2024-03-18,1368127.32,522186,LAI
AL,Pancreatina,25000ui - Não Especificado,2024-03-15,79999.08,30534,LAI
AL,Pancreatina,25000ui - Não Especificado,2025-04-07,1336687.17,489629,LAI
AL,Risperidona,1mg/ml - Não Especificado,2023-05-08,1263093,151450,LAI
AL,Risperidona,1mg/ml - Não Especificado,2023-12-07,39681.3,5235,LAI
AL,Risperidona,1mg/ml - Não Especificado,2023-11-29,18427.2,1745,LAI
AL,Risperidona,1mg/ml - Não Especificado,2024-01-29,22320.98,2858,LAI
AL,Risperidona,1mg/ml - Não Especificado,2024-03-07,13404.16,952,LAI
AL,Risperidona,1mg/ml - Não Especificado,2025-04-09,12028.52,2261,LAI
AL,Risperidona,1mg/ml - Não Especificado,2025-04-25,9299.55,753,LAI
AL,Risperidona,1mg/ml - Não Especificado,2025-10-23,22272.88,1736,LAI
AL,Risperidona,1mg - Não Especificado,2021-10-13,8787.36,109842,LAI
AL,Risperidona,1mg - Não Especificado,2021-08-05,3843.42,54906,LAI
AL,Risperidona,1mg - Não Especificado,2023-11-23,20595.9,158430,LAI
AL,Risperidona,1mg - Não Especificado,2025-09-09,9258.36,77153,LAI
AL,Risperidona,2mg - Não Especificado,2021-10-13,30198.3,274530,LAI
AL,Risperidona,2mg - Não Especificado,2021-08-05,10980,137250,LAI
AL,Risperidona,2mg - Não Especificado,2023-05-08,40279.2,309840,LAI
AL,Risperidona,2mg - Não Especificado,2025-09-09,18507.72,154231,LAI
AL,Sacarato de Hidróxido Férrico,100mg - Não Especificado,2022-05-02,619195.2,59538,LAI
AL,Sacarato de Hidróxido Férrico,100mg - Não Especificado,2022-02-17,201434.58,29754,LAI
AL,Sacubitril + Valsartana,50mg - Não Especificado,2023-03-28,3538.08,936,LAI
AL,Sacubitril + Valsartana,50mg - Não Especificado,2025-04-10,136234.8,33228,LAI
AL,Sacubitril + Valsartana,100mg - Não Especificado,2025-04-10,197890.6,48266,LAI
AL,Sacubitril + Valsartana,200mg - Não Especificado,2025-04-10,84492.8,20608,LAI
BA,Ciproterona,50mg - Comprimido/Cápsula,2023-09-04,765,180,LAI
BA,Ciproterona,50mg - Comprimido/Cápsula,2025-07-07,778.8,220,LAI
BA,Ciproterona,50mg - Comprimido/Cápsula,2025-02-24,969.8,260,LAI
BA,Ciproterona,50mg - Comprimido/Cápsula,2022-04-29,1140,380,LAI
BA,Ciproterona,50mg - Comprimido/Cápsula,2021-09-14,2021.8,440,LAI
BA,Ciproterona,50mg - Comprimido/Cápsula,2025-06-26,52650,15000,LAI
BA,Gosserrelina,8mg - Injetável,2022-03-18,32186.06,31,LAI
BA,Gosserrelina,8mg - Injetável,2021-07-06,58970.45,55,LAI
BA,Gosserrelina,8mg - Injetável,2021-07-05,101858.05,95,LAI
BA,Gosserrelina,8mg - Injetável,2024-10-29,135100,100,LAI
BA,Gosserrelina,8mg - Injetável,2025-10-14,140504,104,LAI
BA,Gosserrelina,8mg - Injetável,2022-03-18,123552.94,119,LAI
BA,Gosserrelina,8mg - Injetável,2025-10-14,163471,121,LAI
BA,Gosserrelina,8mg - Injetável,2024-04-10,168875,125,LAI
BA,Gosserrelina,8mg - Injetável,2023-09-04,168875,125,LAI
BA,Gosserrelina,8mg - Injetável,2024-07-30,199948,148,LAI
BA,Gosserrelina,8mg - Injetável,2023-02-02,155739,150,LAI
BA,Gosserrelina,8mg - Injetável,2022-05-04,155739,150,LAI
BA,Gosserrelina,8mg - Injetável,2022-07-01,155739,150,LAI
BA,Gosserrelina,8mg - Injetável,2022-08-10,155739,150,LAI
BA,Gosserrelina,8mg - Injetável,2022-09-08,155739,150,LAI
BA,Gosserrelina,8mg - Injetável,2022-11-07,155739,150,LAI
BA,Gosserrelina,8mg - Injetável,2021-09-08,160828.5,150,LAI
BA,Gosserrelina,8mg - Injetável,2021-09-28,160828.5,150,LAI
BA,Gosserrelina,8mg - Injetável,2021-10-21,160828.5,150,LAI
BA,Gosserrelina,8mg - Injetável,2025-06-02,202650,150,LAI
BA,Gosserrelina,8mg - Injetável,2025-07-17,202650,150,LAI
BA,Gosserrelina,8mg - Injetável,2024-03-05,253988,188,LAI
BA,Gosserrelina,8mg - Injetável,2024-10-29,270200,200,LAI
BA,Gosserrelina,8mg - Injetável,2023-09-04,313432,232,LAI
BA,Gosserrelina,8mg - Injetável,2023-06-26,388545,250,LAI
BA,Gosserrelina,8mg - Injetável,2024-11-08,405300,300,LAI
BA,Gosserrelina,8mg - Injetável,2022-10-14,467217,450,LAI
BA,Gosserrelina,6mg - Injetável,2021-08-09,7157.85,15,LAI
BA,Gosserrelina,6mg - Injetável,2022-05-04,34384.77,69,LAI
BA,Gosserrelina,6mg - Injetável,2023-10-04,42358.05,85,LAI
BA,Gosserrelina,6mg - Injetável,2022-05-04,55314.63,111,LAI
BA,Gosserrelina,6mg - Injetável,2025-10-14,62490,120,LAI
BA,Gosserrelina,6mg - Injetável,2023-10-05,68271.21,137,LAI
BA,Gosserrelina,6mg - Injetável,2021-08-09,107367.75,225,LAI
BA,Gosserrelina,6mg - Injetável,2021-09-28,114525.6,240,LAI
BA,Gosserrelina,6mg - Injetável,2024-06-07,119599.2,240,LAI
BA,Gosserrelina,6mg - Injetável,2023-04-17,119599.2,240,LAI
BA,Gosserrelina,6mg - Injetável,2022-09-06,119599.2,240,LAI
BA,Gosserrelina,6mg - Injetável,2022-10-25,119599.2,240,LAI
BA,Leuprorrelina,25mg - Injetável,2021-03-08,12673.4,10,LAI
BA,Leuprorrelina,25mg - Injetável,2022-03-17,50502,38,LAI
BA,Leuprorrelina,25mg - Injetável,2021-03-08,114060.6,90,LAI
BA,Leuprorrelina,25mg - Injetável,2022-03-16,132900,100,LAI
BA,Leuprorrelina,25mg - Injetável,2021-10-29,171741,138,LAI
BA,Leuprorrelina,25mg - Injetável,2021-09-29,457976,368,LAI
BA,Leuprorrelina,25mg - Injetável,2022-09-09,550206,414,LAI
BA,Leuprorrelina,25mg - Injetável,2022-10-25,550206,414,LAI
BA,Ácido Ursodesoxicólico,150mg - Comprimido/Cápsula,2024-02-08,57,60,LAI
BA,Ácido Ursodesoxicólico,150mg - Comprimido/Cápsula,2021-11-03,11021.56,6770,LAI
BA,Ácido Ursodesoxicólico,150mg - Comprimido/Cápsula,2024-09-02,8730,11640,LAI
BA,Ácido Ursodesoxicólico,150mg - Comprimido/Cápsula,2025-04-07,13258.68,18780,LAI
BA,Ácido Ursodesoxicólico,150mg - Comprimido/Cápsula,2021-03-08,49980,21000,LAI
BA,Ácido Ursodesoxicólico,150mg - Comprimido/Cápsula,2022-09-13,51170,43000,LAI
BA,Ácido Ursodesoxicólico,150mg - Comprimido/Cápsula,2021-05-21,107956.8,45360,LAI
BA,Ácido Ursodesoxicólico,150mg - Comprimido/Cápsula,2021-07-05,107956.8,45360,LAI
BA,Ácido Ursodesoxicólico,150mg - Comprimido/Cápsula,2022-09-16,54644.8,45920,LAI
BA,Ácido Ursodesoxicólico,150mg - Comprimido/Cápsula,2021-11-03,73061.84,54160,LAI
BA,Ácido Ursodesoxicólico,150mg - Comprimido/Cápsula,2022-03-07,82194.57,60930,LAI
BA,Ácido Ursodesoxicólico,150mg - Comprimido/Cápsula,2021-09-29,145013.4,60930,LAI
BA,Ácido Ursodesoxicólico,150mg - Comprimido/Cápsula,2022-06-08,96156.72,71280,LAI
BA,Ácido Ursodesoxicólico,150mg - Comprimido/Cápsula,2024-09-02,50493.12,71520,LAI
BA,Ácido Ursodesoxicólico,150mg - Comprimido/Cápsula,2025-08-11,49680,82800,LAI
BA,Ácido Ursodesoxicólico,150mg - Comprimido/Cápsula,2024-11-08,58710.96,83160,LAI
BA,Ácido Ursodesoxicólico,150mg - Comprimido/Cápsula,2024-06-07,58710.96,83160,LAI
BA,Ácido Ursodesoxicólico,150mg - Comprimido/Cápsula,2025-10-14,51840,86400,LAI
BA,Ácido Ursodesoxicólico,150mg - Comprimido/Cápsula,2023-11-24,83875.5,88290,LAI
BA,Ácido Ursodesoxicólico,150mg - Comprimido/Cápsula,2022-08-10,120007.04,88960,LAI
BA,Ácido Ursodesoxicólico,150mg - Comprimido/Cápsula,2022-10-14,108849.3,91470,LAI
BA,Ácido Ursodesoxicólico,150mg - Comprimido/Cápsula,2023-09-04,90544.5,95310,LAI
BA,Ácido Ursodesoxicólico,150mg - Comprimido/Cápsula,2023-05-09,114132.9,95910,LAI
BA,Ácido Ursodesoxicólico,300mg - Comprimido/Cápsula,2023-04-04,462,210,LAI
BA,Ácido Ursodesoxicólico,300mg - Comprimido/Cápsula,2021-02-02,3603.6,630,LAI
BA,Ácido Ursodesoxicólico,300mg - Comprimido/Cápsula,2022-03-31,2691,900,LAI
BA,Ácido Ursodesoxicólico,300mg - Comprimido/Cápsula,2021-04-12,9266.4,1620,LAI
BA,Ácido Ursodesoxicólico,300mg - Comprimido/Cápsula,2021-08-06,11595,2500,LAI
BA,Ácido Ursodesoxicólico,300mg - Comprimido/Cápsula,2021-05-04,18018,3150,LAI
BA,Ácido Ursodesoxicólico,300mg - Comprimido/Cápsula,2021-08-06,14784,3200,LAI
BA,Ácido Ursodesoxicólico,300mg - Comprimido/Cápsula,2021-07-05,19562.4,3420,LAI
BA,Ácido Ursodesoxicólico,300mg - Comprimido/Cápsula,2022-03-31,9785.1,5070,LAI
BA,Ácido Ursodesoxicólico,300mg - Comprimido/Cápsula,2021-09-29,26334,5700,LAI
BA,Ácido Ursodesoxicólico,300mg - Comprimido/Cápsula,2021-10-22,26334,5700,LAI
BA,Ácido Ursodesoxicólico,300mg - Comprimido/Cápsula,2022-06-07,13374.9,6930,LAI
BA,Ácido Ursodesoxicólico,300mg - Comprimido/Cápsula,2022-08-04,18122.7,9390,LAI
BA,Ácido Ursodesoxicólico,300mg - Comprimido/Cápsula,2022-09-05,18122.7,9390,LAI
