Data,Estado,Medicamento,Apresentacao,Quantidade,Valor,Base
2025-04-28,CE,Ciproterona Acetato,50mg - Comprimido/Cápsula,48180,168148.2,PNCP
2024-10-23,CE,Ciproterona Acetato,50mg - Comprimido/Cápsula,3340,16488.58,PNCP
2023-08-17,CE,Ciproterona Acetato,50mg - Comprimido/Cápsula,137900,410486.9300000001,PNCP
2023-08-17,CE,Ciproterona Acetato,50mg - Comprimido/Cápsula,137900,410486.9300000001,PNCP
2023-08-17,CE,Ciproterona Acetato,50mg - Comprimido/Cápsula,137900,410486.9300000001,PNCP
2023-08-17,CE,Ciproterona Acetato,50mg - Comprimido/Cápsula,137900,410486.9300000001,PNCP
2023-08-17,CE,Ciproterona Acetato,50mg - Comprimido/Cápsula,137900,410486.9300000001,PNCP
2023-08-17,CE,Ciproterona Acetato,50mg - Comprimido/Cápsula,137900,410486.9300000001,PNCP
2025-04-11,SP,Gosserrelina Acetato,Não Especificado,3000,3453909,PNCP
2025-04-11,SP,Gosserrelina Acetato,Não Especificado,3000,3453909,PNCP
2025-08-27,GO,Gosserrelina Acetato,108mg - Injetável,4,8541.8,PNCP
2025-04-11,SP,Gosserrelina Acetato,Não Especificado,3000,3453909,PNCP
2025-03-14,CE,Gosserrelina Acetato,108mg - Injetável,4280,6951233.6,PNCP
2025-03-14,CE,Gosserrelina Acetato,108mg - Injetável,4280,6951233.6,PNCP
2025-03-14,CE,Gosserrelina Acetato,108mg - Injetável,4280,6951233.6,PNCP
2025-03-14,CE,Gosserrelina Acetato,108mg - Injetável,4280,6951233.6,PNCP
2025-03-14,CE,Gosserrelina Acetato,108mg - Injetável,4280,6951233.6,PNCP
2025-03-14,CE,Gosserrelina Acetato,108mg - Injetável,4280,6951233.6,PNCP
2025-03-14,CE,Gosserrelina Acetato,108mg - Injetável,4280,6951233.6,PNCP
2025-04-11,SP,Gosserrelina Acetato,Não Especificado,3000,3453909,PNCP
2025-08-27,GO,Gosserrelina Acetato,108mg - Injetável,4,8541.8,PNCP
2025-04-11,SP,Gosserrelina Acetato,Não Especificado,3000,3453909,PNCP
2025-03-14,CE,Gosserrelina Acetato,108mg - Injetável,4280,6951233.6,PNCP
2025-03-14,CE,Gosserrelina Acetato,108mg - Injetável,4280,6951233.6,PNCP
2025-03-14,CE,Gosserrelina Acetato,108mg - Injetável,4280,6951233.6,PNCP
2025-03-14,CE,Gosserrelina Acetato,108mg - Injetável,4280,6951233.6,PNCP
2025-03-14,CE,Gosserrelina Acetato,108mg - Injetável,4280,6951233.6,PNCP
2025-03-14,CE,Gosserrelina Acetato,108mg - Injetável,4280,6951233.6,PNCP
2023-08-02,CE,Gosserrelina Acetato,108mg - Injetável,2484,3655851.84,PNCP
2023-08-02,CE,Hidroxiureia,500mg - Comprimido/Cápsula,740452,1258768.4,PNCP
