"","Data","Estado","CNPJ","Fornecedor","CATMAT","Medicamento","Apresentacao","Quantidade","Valor","Base","Populacao"
"1",NA,"AL",NA,NA,268077,"Acetato de Ciproterona","50 mg - Comprimido/Cápsula",NA,NA,"LAI",NA
"2",2022-03-08,"AL","60.318.797/0001-00","AstraZeneca",268109,"Acetato de Gosserrelina","3.6 mg - Não Especificado",1108,630415.65032038,"LAI",3127683
"3",2024-02-29,"AL","09.053.134/0001-45","Elfa Medicamentos",268109,"Acetato de Gosserrelina","3.6 mg - Não Especificado",607,361952.02822352,"LAI",3220104
"4",2024-12-13,"AL","60.318.797/0001-00","AstraZeneca",268109,"Acetato de Gosserrelina","3.6 mg - Não Especificado",523,264689.851872122,"LAI",3220104
"5",2022-03-08,"AL","60.318.797/0001-00","AstraZeneca",268108,"Acetato de Gosserrelina","10.8 mg - Injetável",317,461804.801302722,"LAI",3127683
"6",2024-02-29,"AL","09.053.134/0001-45","Elfa Medicamentos",268108,"Acetato de Gosserrelina","10.8 mg - Injetável",243,339026.135981873,"LAI",3220104
"7",2024-12-13,"AL","60.318.797/0001-00","AstraZeneca",268108,"Acetato de Gosserrelina","10.8 mg - Injetável",323,418552.634906852,"LAI",3220104
"8",2021-12-03,"AL","05.400.006/0001-70","Fabmed Distribuidora Hospitalar",305257,"Acetato de Leuprorrelina","3.75 mg - Não Especificado",6124,1914322.03880099,"LAI",3365351
"9",2021-12-03,"AL",NA,"Mdf Distribuidora De Produtos Farmaceuticos E Hospitalares",305257,"Acetato de Leuprorrelina","3.75 mg - Não Especificado",241,96535.2827213057,"LAI",3365351
"10",2023-05-08,"AL","05.400.006/0001-70","Fabmed Distribuidora Hospitalar",305257,"Acetato de Leuprorrelina","3.75 mg - Não Especificado",8060,2057807.79345564,"LAI",NA
"11",2023-11-29,"AL",NA,"Nord Produtos Em Saude",305257,"Acetato de Leuprorrelina","3.75 mg - Não Especificado",261,57865.4898798019,"LAI",NA
"12",2024-03-15,"AL",NA,"W.a Medicamentos Solucoes Em Saude",305257,"Acetato de Leuprorrelina","3.75 mg - Não Especificado",87,24148.2875111295,"LAI",3220104
"13",2023-07-26,"AL","05.400.006/0001-70","Fabmed Distribuidora Hospitalar",305257,"Acetato de Leuprorrelina","3.75 mg - Não Especificado",8206,2912412.49944787,"LAI",NA
"14",2023-07-26,"AL","10.493.969/0001-03","Tc Atual Comercio De Medicamentos",305257,"Acetato de Leuprorrelina","3.75 mg - Não Especificado",202,88714.9508341107,"LAI",NA
"15",2025-10-15,"AL","07.484.373/0001-24","Uni Hospitalar",305257,"Acetato de Leuprorrelina","3.75 mg - Não Especificado",6635,1527173.3058387,"LAI",3220848
"16",2025-10-10,"AL","23.232.280/0001-69","Zuck Papeis",305257,"Acetato de Leuprorrelina","3.75 mg - Não Especificado",231,76317.4056859652,"LAI",3220848
"17",NA,"AL",NA,NA,305260,"Acetato de Leuprorrelina","11.25 mg - Não Especificado",NA,NA,"LAI",NA
"18",2024-12-12,"AL","08.958.628/0004-59","Oncoexo Distribuidora De Medicamentos",432915,"Acetato de Leuprorrelina","45 mg - Injetável",1401,1840536.82211112,"LAI",3220104
"19",NA,"AL",NA,NA,342979,"Acetato de Octreotida","10 mg - Injetável",NA,NA,"LAI",NA
"20",NA,"AL",NA,NA,305725,"Acetato de Octreotida","0.1 mg/ml - Não Especificado",NA,NA,"LAI",NA
"21",NA,"AL",NA,NA,400775,"Embonato de Triptorrelina","3.75 mg - Não Especificado",NA,NA,"LAI",NA
"22",NA,"AL",NA,NA,277519,"Ácido Ursodesoxicólico","50 mg - Comprimido/Cápsula",NA,NA,"LAI",NA
"23",2021-04-16,"AL","05.400.006/0001-70","Fabmed Distribuidora Hospitalar",269460,"Ácido Ursodesoxicólico","150 mg - Comprimido/Cápsula",93600,272927.737675566,"LAI",3365351
"24",2022-06-13,"AL",NA,"Cirurgica Montebello",269460,"Ácido Ursodesoxicólico","150 mg - Comprimido/Cápsula",83817,237410.758937568,"LAI",3127683
"25",2022-06-15,"AL",NA,"3med Distribuidora De Medicamentos",269460,"Ácido Ursodesoxicólico","150 mg - Comprimido/Cápsula",27729,82675.8914575153,"LAI",3127683
"26",2023-09-29,"AL","05.400.006/0001-70","Fabmed Distribuidora Hospitalar",269460,"Ácido Ursodesoxicólico","150 mg - Comprimido/Cápsula",78840,69685.7185530978,"LAI",NA
"27",2023-09-19,"AL","23.864.942/0001-13","Unique Distribuidora De Medicamentos",269460,"Ácido Ursodesoxicólico","150 mg - Comprimido/Cápsula",26280,50522.1459509959,"LAI",NA
"28",2024-03-07,"AL","05.400.006/0001-70","Fabmed Distribuidora Hospitalar",269460,"Ácido Ursodesoxicólico","150 mg - Comprimido/Cápsula",78840,66413.0706058924,"LAI",3220104
"29",2024-03-15,"AL",NA,"Send Pharma Distribuidora De Medicamentos E Materiais Hospitlares",269460,"Ácido Ursodesoxicólico","150 mg - Comprimido/Cápsula",26280,26907.3767807906,"LAI",3220104
"30",2025-02-12,"AL",NA,"Exclusive Produtos Hospitalares",269460,"Ácido Ursodesoxicólico","150 mg - Comprimido/Cápsula",59674,49052.8341961102,"LAI",3220848
"31",2022-07-19,"AL",NA,"Cirurgica Montebello",309040,"Ácido Ursodesoxicólico","300 mg - Comprimido/Cápsula",32409,151923.969459618,"LAI",3127683
"32",2022-07-19,"AL",NA,"Cirurgica Brasil Distribuidora De Medicamentos",309040,"Ácido Ursodesoxicólico","300 mg - Comprimido/Cápsula",10803,64237.1463642886,"LAI",3127683
"33",2023-09-19,"AL",NA,"Mais Saude Comercio De Produtos Hospitalares",309040,"Ácido Ursodesoxicólico","300 mg - Comprimido/Cápsula",53756,49889.9893565112,"LAI",NA
"34",2023-09-19,"AL","23.864.942/0001-13","Unique Distribuidora De Medicamentos",309040,"Ácido Ursodesoxicólico","300 mg - Comprimido/Cápsula",11764,21186.0405994036,"LAI",NA
"35",2024-03-07,"AL","05.400.006/0001-70","Fabmed Distribuidora Hospitalar",309040,"Ácido Ursodesoxicólico","300 mg - Comprimido/Cápsula",49140,75083.0464380723,"LAI",3220104
