"","Ano","Estado","Medicamento","Apresentacao","Valor","LAI","PNCP"
"1",2020,"RO","Deferiprona","500mg - Comprimido/Cápsula",3224,NA,NA
"2",2020,"AC","Deferiprona","500mg - Comprimido/Cápsula",0,NA,NA
"3",2020,"AM","Deferiprona","500mg - Comprimido/Cápsula",0,NA,NA
"4",2020,"RR","Deferiprona","500mg - Comprimido/Cápsula",0,NA,NA
"5",2020,"PA","Deferiprona","500mg - Comprimido/Cápsula",0,NA,NA
"6",2020,"AP","Deferiprona","500mg - Comprimido/Cápsula",0,NA,NA
"7",2020,"TO","Deferiprona","500mg - Comprimido/Cápsula",0,NA,NA
"8",2020,"MA","Deferiprona","500mg - Comprimido/Cápsula",2418,NA,NA
"9",2020,"PI","Deferiprona","500mg - Comprimido/Cápsula",0,NA,NA
"10",2020,"CE","Deferiprona","500mg - Comprimido/Cápsula",0,NA,NA
"11",2020,"RN","Deferiprona","500mg - Comprimido/Cápsula",0,NA,NA
"12",2020,"PB","Deferiprona","500mg - Comprimido/Cápsula",20956,NA,NA
"13",2020,"PE","Deferiprona","500mg - Comprimido/Cápsula",249457,NA,NA
"14",2020,"AL","Deferiprona","500mg - Comprimido/Cápsula",0,NA,NA
"15",2020,"SE","Deferiprona","500mg - Comprimido/Cápsula",0,NA,NA
"16",2020,"BA","Deferiprona","500mg - Comprimido/Cápsula",0,NA,NA
"17",2020,"MG","Deferiprona","500mg - Comprimido/Cápsula",201500,NA,NA
"18",2020,"ES","Deferiprona","500mg - Comprimido/Cápsula",30466.8,NA,NA
"19",2020,"RJ","Deferiprona","500mg - Comprimido/Cápsula",62706.8,NA,NA
"20",2020,"SP","Deferiprona","500mg - Comprimido/Cápsula",3095281.8,NA,NA
"21",2020,"PR","Deferiprona","500mg - Comprimido/Cápsula",626697.24,NA,NA
"22",2020,"SC","Deferiprona","500mg - Comprimido/Cápsula",75764,NA,NA
"23",2020,"RS","Deferiprona","500mg - Comprimido/Cápsula",26356.2,NA,NA
"24",2020,"MS","Deferiprona","500mg - Comprimido/Cápsula",0,NA,NA
"25",2020,"MT","Deferiprona","500mg - Comprimido/Cápsula",0,NA,NA
