Data,Estado,Medicamento,Apresentacao,Quantidade,Valor,Base
2023-08-02,CE,Hidroxiureia,500mg - Comprimido/Cápsula,740452,1258768.4,PNCP
2023-08-02,CE,Hidroxiureia,500mg - Comprimido/Cápsula,740452,1258768.4,PNCP
2023-08-02,CE,Hidroxiureia,500mg - Comprimido/Cápsula,740452,1258768.4,PNCP
2025-03-06,MG,Bosentana,625mg - Comprimido/Cápsula,42220,935173,PNCP
2025-03-06,MG,Mepolizumabe,100mg - Não Especificado,11624,23583584.88,PNCP
2025-03-06,MG,Penicilamina,250mg - Comprimido/Cápsula,122910,3527517,PNCP
2024-10-11,SP,Danazol,Não Especificado,125140,NA,PNCP
2024-10-11,SP,Triptorrelina,Não Especificado,5630,32773900.419999998,PNCP
2025-07-22,ES,Penicilamina,Não Especificado,12500,368083.75,PNCP
2025-07-22,ES,Penicilamina,Não Especificado,10800,318024.36,PNCP
2025-07-22,ES,Penicilamina,Não Especificado,12500,368083.75,PNCP
2025-07-22,ES,Penicilamina,Não Especificado,10800,318024.36,PNCP
2025-07-22,ES,Penicilamina,Não Especificado,12500,368083.75,PNCP
2025-07-22,ES,Penicilamina,Não Especificado,10800,318024.36,PNCP
2025-03-12,AL,Mepolizumabe,Não Especificado,117,219463.91999999998,PNCP
2025-03-12,AL,Mepolizumabe,Não Especificado,39,73154.64,PNCP
2025-03-12,AL,Risperidona,Não Especificado,1736,23453.36,PNCP
2025-03-12,AL,Triptorrelina,Não Especificado,16,6720,PNCP
2024-10-11,SP,Danazol,Não Especificado,125140,NA,PNCP
2024-10-11,SP,Triptorrelina,Não Especificado,5630,32773900.419999998,PNCP
2025-07-22,ES,Penicilamina,Não Especificado,12500,368083.75,PNCP
2025-07-22,ES,Penicilamina,Não Especificado,10800,318024.36,PNCP
2025-07-22,ES,Penicilamina,Não Especificado,12500,368083.75,PNCP
2025-07-22,ES,Penicilamina,Não Especificado,10800,318024.36,PNCP
2025-07-22,ES,Penicilamina,Não Especificado,12500,368083.75,PNCP
2025-07-22,ES,Penicilamina,Não Especificado,10800,318024.36,PNCP
2025-03-12,AL,Mepolizumabe,Não Especificado,117,219463.91999999998,PNCP
2025-03-12,AL,Mepolizumabe,Não Especificado,39,73154.64,PNCP
2025-03-12,AL,Risperidona,Não Especificado,1736,23453.36,PNCP
2025-03-12,AL,Triptorrelina,Não Especificado,16,6720,PNCP
2024-10-11,SP,Danazol,Não Especificado,125140,NA,PNCP
2024-10-11,SP,Triptorrelina,Não Especificado,5630,32773900.419999998,PNCP
2025-07-22,ES,Penicilamina,Não Especificado,12500,368083.75,PNCP
2025-07-22,ES,Penicilamina,Não Especificado,10800,318024.36,PNCP
2025-07-22,ES,Penicilamina,Não Especificado,12500,368083.75,PNCP
2025-07-22,ES,Penicilamina,Não Especificado,10800,318024.36,PNCP
2025-07-22,ES,Penicilamina,Não Especificado,12500,368083.75,PNCP
2025-07-22,ES,Penicilamina,Não Especificado,10800,318024.36,PNCP
2025-03-12,AL,Mepolizumabe,Não Especificado,117,219463.91999999998,PNCP
2025-03-12,AL,Mepolizumabe,Não Especificado,39,73154.64,PNCP
2025-03-12,AL,Risperidona,Não Especificado,1736,23453.36,PNCP
2025-03-12,AL,Triptorrelina,Não Especificado,16,6720,PNCP
2024-10-11,SP,Danazol,Não Especificado,125140,NA,PNCP
2024-10-11,SP,Triptorrelina,Não Especificado,5630,32773900.419999998,PNCP
2025-07-22,ES,Penicilamina,Não Especificado,12500,368083.75,PNCP
2025-07-22,ES,Penicilamina,Não Especificado,10800,318024.36,PNCP
2025-07-22,ES,Penicilamina,Não Especificado,12500,368083.75,PNCP
2025-07-22,ES,Penicilamina,Não Especificado,10800,318024.36,PNCP
2025-07-22,ES,Penicilamina,Não Especificado,12500,368083.75,PNCP
2025-07-22,ES,Penicilamina,Não Especificado,10800,318024.36,PNCP
2025-03-12,AL,Mepolizumabe,Não Especificado,117,219463.91999999998,PNCP
2025-03-12,AL,Mepolizumabe,Não Especificado,39,73154.64,PNCP
